               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.047422,            0.060849,           0.0077598,             0.66372,              0.4185,             0.47692,             0.26471,            0.050097,            0.081568,            0.011998,            0.008812,            0.008812,            0.008812
                  38,            0.047541,            0.059864,           0.0078035,             0.70109,             0.39214,             0.46319,             0.26361,            0.050512,            0.082207,            0.012313,            0.008779,            0.008779,            0.008779
                  39,             0.04709,            0.059445,           0.0075765,             0.67244,             0.40948,             0.46914,             0.26642,            0.050128,            0.082415,            0.011989,            0.008746,            0.008746,            0.008746
                  40,            0.046782,            0.059459,           0.0076192,             0.68011,             0.39966,             0.47112,             0.26179,            0.050378,            0.083122,            0.011709,            0.008713,            0.008713,            0.008713
                  41,            0.047186,            0.060044,           0.0075603,             0.65263,             0.41412,             0.46299,             0.25413,            0.050187,             0.08246,            0.012431,             0.00868,             0.00868,             0.00868
                  42,            0.047137,            0.059218,           0.0076206,             0.66178,             0.41567,             0.45993,             0.25806,            0.050139,            0.083288,            0.012433,            0.008647,            0.008647,            0.008647
                  43,            0.047042,            0.059736,           0.0074824,              0.6967,             0.42148,             0.48114,             0.26803,            0.050242,            0.082237,            0.011901,            0.008614,            0.008614,            0.008614
                  44,            0.046797,            0.059311,            0.007546,             0.66855,             0.41052,             0.46215,             0.25663,            0.050041,            0.081987,            0.012191,            0.008581,            0.008581,            0.008581
                  45,            0.046554,            0.058396,           0.0074868,             0.67485,             0.40698,             0.46957,             0.26211,                0.05,            0.082376,            0.012354,            0.008548,            0.008548,            0.008548
                  46,            0.046592,            0.059886,           0.0073812,              0.6896,              0.4135,             0.47694,             0.27249,            0.049915,            0.083904,             0.01198,            0.008515,            0.008515,            0.008515
                  47,            0.046766,            0.059081,           0.0074087,             0.70866,             0.39892,             0.46375,             0.25986,            0.050084,             0.08267,            0.012147,            0.008482,            0.008482,            0.008482
                  48,            0.046293,            0.059081,           0.0074048,             0.66697,             0.39942,             0.46558,             0.26567,            0.049968,            0.084671,            0.012035,            0.008449,            0.008449,            0.008449
                  49,            0.046417,            0.058701,           0.0073446,             0.73678,             0.40295,             0.48067,             0.27543,            0.049556,            0.082003,            0.012098,            0.008416,            0.008416,            0.008416
                  50,            0.046306,            0.058309,           0.0072966,             0.66159,             0.40407,             0.46218,             0.26483,            0.050053,            0.084772,            0.012473,            0.008383,            0.008383,            0.008383
                  51,            0.046437,            0.058037,           0.0071912,             0.71723,              0.4179,             0.48368,             0.27393,            0.049764,            0.081963,            0.011913,             0.00835,             0.00835,             0.00835
                  52,            0.045706,            0.058166,           0.0071488,             0.66597,             0.40209,             0.45841,             0.26261,            0.050199,            0.084881,            0.013232,            0.008317,            0.008317,            0.008317
                  53,            0.045945,            0.057871,           0.0070158,             0.68903,             0.40985,             0.46932,             0.27068,            0.049705,            0.082804,            0.012191,            0.008284,            0.008284,            0.008284
                  54,            0.046295,            0.058429,           0.0071801,             0.69144,             0.42659,             0.48397,             0.27858,            0.049438,            0.080942,            0.011998,            0.008251,            0.008251,            0.008251
                  55,              0.0459,            0.057807,           0.0069872,             0.71141,             0.41011,             0.47838,             0.27748,            0.049577,            0.081398,            0.012155,            0.008218,            0.008218,            0.008218
                  56,            0.046037,            0.057864,           0.0070383,             0.70177,             0.41286,              0.4737,              0.2696,            0.049843,            0.082718,            0.012465,            0.008185,            0.008185,            0.008185
                  57,            0.045474,            0.057989,           0.0069687,             0.65467,             0.43241,             0.48064,             0.27441,            0.049578,            0.081834,             0.01245,            0.008152,            0.008152,            0.008152
                  58,            0.045642,             0.05782,           0.0068309,             0.68045,             0.41533,             0.46376,             0.26439,            0.049787,              0.0832,            0.012298,            0.008119,            0.008119,            0.008119
                  59,            0.045656,            0.057677,           0.0069405,             0.68748,             0.40833,             0.45959,             0.26421,            0.049579,            0.082428,            0.012219,            0.008086,            0.008086,            0.008086
                  60,            0.045658,            0.057608,           0.0069789,             0.67981,             0.41902,             0.47483,             0.27311,            0.049717,            0.083857,            0.012316,            0.008053,            0.008053,            0.008053
                  61,            0.045371,            0.057733,           0.0068528,             0.71385,             0.41624,             0.48602,             0.27591,            0.049509,            0.083588,            0.011933,             0.00802,             0.00802,             0.00802
                  62,            0.045554,            0.057839,           0.0069578,             0.71439,             0.42185,             0.48367,             0.27189,            0.049492,            0.082228,            0.011922,            0.007987,            0.007987,            0.007987
                  63,            0.045238,            0.057745,           0.0068647,             0.68376,             0.39809,             0.47026,             0.27137,            0.049417,            0.082832,            0.012577,            0.007954,            0.007954,            0.007954
                  64,            0.045374,            0.057908,           0.0067742,             0.72444,             0.40921,             0.47775,             0.27486,             0.04933,            0.083199,            0.011765,            0.007921,            0.007921,            0.007921
                  65,            0.045064,            0.057888,           0.0067559,             0.68359,             0.41411,              0.4757,             0.27355,            0.049521,            0.082322,            0.012093,            0.007888,            0.007888,            0.007888
                  66,            0.045429,            0.056846,           0.0068178,              0.7407,              0.3869,             0.46606,               0.266,            0.049592,             0.08334,            0.012512,            0.007855,            0.007855,            0.007855
                  67,            0.045177,            0.057622,           0.0066839,             0.73433,             0.39987,             0.46852,             0.26789,            0.049741,            0.084063,            0.012535,            0.007822,            0.007822,            0.007822
                  68,            0.045233,            0.057703,           0.0067624,             0.69073,             0.41775,             0.48073,             0.27544,            0.049193,            0.082602,            0.012125,            0.007789,            0.007789,            0.007789
                  69,            0.045085,             0.05688,           0.0065742,             0.71856,              0.4114,             0.47853,             0.27343,            0.049328,            0.082212,            0.011957,            0.007756,            0.007756,            0.007756
                  70,            0.044942,            0.057125,           0.0066404,             0.71811,             0.41627,             0.48281,              0.2769,            0.048982,            0.082754,            0.011746,            0.007723,            0.007723,            0.007723
                  71,            0.045081,             0.05687,           0.0066381,             0.74757,             0.40183,             0.47164,             0.27045,            0.049292,             0.08276,             0.01233,             0.00769,             0.00769,             0.00769
                  72,            0.044832,            0.056687,           0.0066508,              0.6952,             0.42023,             0.47761,             0.27618,            0.049341,            0.083118,            0.012464,            0.007657,            0.007657,            0.007657
                  73,            0.044785,            0.057168,           0.0065776,              0.6881,             0.41516,             0.47151,             0.27391,            0.049271,            0.083258,            0.012692,            0.007624,            0.007624,            0.007624
                  74,            0.044571,            0.056333,           0.0064815,             0.71969,             0.37964,             0.45457,             0.26365,            0.049569,            0.084732,            0.012763,            0.007591,            0.007591,            0.007591
                  75,            0.044866,            0.056763,           0.0067492,             0.72911,             0.40695,             0.46336,             0.26833,            0.049498,            0.085024,            0.012335,            0.007558,            0.007558,            0.007558
                  76,            0.044897,             0.05595,           0.0065845,             0.67502,             0.43167,             0.47402,             0.27652,            0.049348,            0.084635,            0.012195,            0.007525,            0.007525,            0.007525
                  77,            0.044844,            0.056226,           0.0065377,               0.698,             0.42878,             0.48134,             0.27416,            0.049199,            0.082344,            0.012045,            0.007492,            0.007492,            0.007492
                  78,            0.044585,            0.056127,           0.0066344,             0.72333,             0.41228,             0.48163,             0.27697,            0.049331,            0.084082,            0.012198,            0.007459,            0.007459,            0.007459
                  79,            0.044331,            0.056876,           0.0064462,             0.68144,              0.3984,             0.46089,             0.26857,            0.049359,            0.083799,            0.012312,            0.007426,            0.007426,            0.007426
                  80,             0.04486,            0.056366,           0.0065018,             0.69156,              0.3991,             0.45904,             0.26769,             0.04954,            0.084217,            0.012329,            0.007393,            0.007393,            0.007393
                  81,            0.044795,            0.056115,           0.0064244,             0.66652,             0.41001,             0.45668,             0.26408,            0.049479,            0.084194,            0.012653,             0.00736,             0.00736,             0.00736
                  82,            0.044598,            0.056299,           0.0064971,             0.67824,              0.4171,             0.46434,              0.2694,            0.049246,            0.084373,             0.01241,            0.007327,            0.007327,            0.007327
                  83,            0.044621,            0.056041,           0.0063659,             0.67039,             0.42827,             0.46823,             0.26693,             0.04927,            0.083202,            0.012061,            0.007294,            0.007294,            0.007294
                  84,            0.044258,            0.056169,            0.006299,             0.70187,             0.40946,             0.46786,             0.27272,            0.049153,            0.083498,            0.011992,            0.007261,            0.007261,            0.007261
                  85,            0.044194,            0.056069,           0.0062184,             0.71542,             0.38319,             0.45619,             0.26577,            0.049234,            0.083399,            0.013208,            0.007228,            0.007228,            0.007228
                  86,             0.04395,            0.055832,            0.006236,              0.6852,             0.42048,             0.46623,              0.2724,            0.048981,            0.082142,            0.012266,            0.007195,            0.007195,            0.007195
                  87,            0.043927,             0.05552,           0.0063027,             0.72224,             0.40012,             0.45548,             0.27034,            0.049321,            0.084135,            0.013005,            0.007162,            0.007162,            0.007162
                  88,            0.044145,            0.055525,           0.0063018,             0.73586,             0.40429,             0.46942,             0.27229,            0.049287,            0.083657,            0.012546,            0.007129,            0.007129,            0.007129
                  89,             0.04397,            0.055206,           0.0061363,             0.66234,             0.41558,             0.46768,             0.27073,            0.049226,            0.082897,            0.012284,            0.007096,            0.007096,            0.007096
                  90,            0.043704,            0.054553,           0.0062187,             0.70477,             0.40276,             0.46123,              0.2685,            0.049056,            0.083419,            0.012663,            0.007063,            0.007063,            0.007063
                  91,            0.043919,            0.055008,           0.0061573,             0.64742,             0.41095,             0.46322,              0.2696,            0.049147,            0.084529,            0.012518,             0.00703,             0.00703,             0.00703
                  92,            0.043812,            0.055632,           0.0063119,             0.69501,             0.40495,             0.46089,             0.26771,            0.049029,            0.083641,            0.012445,            0.006997,            0.006997,            0.006997
                  93,            0.043686,            0.055965,            0.006058,             0.71496,             0.39853,             0.46537,             0.27075,            0.049225,            0.085264,            0.012672,            0.006964,            0.006964,            0.006964
                  94,            0.044209,            0.056132,           0.0062323,             0.69819,             0.42286,             0.47161,             0.27051,            0.049147,            0.083363,            0.012513,            0.006931,            0.006931,            0.006931
                  95,            0.044163,            0.055501,           0.0062489,             0.69602,             0.40776,             0.46099,             0.27018,            0.049262,            0.084711,            0.012282,            0.006898,            0.006898,            0.006898
                  96,            0.043607,            0.054667,           0.0060444,             0.66481,             0.40685,             0.46493,             0.27261,            0.048947,            0.083605,            0.012276,            0.006865,            0.006865,            0.006865
                  97,               0.044,            0.054396,           0.0061207,             0.71252,             0.41288,             0.46896,             0.27257,            0.049229,             0.08485,            0.012485,            0.006832,            0.006832,            0.006832
                  98,            0.043824,            0.055663,           0.0061725,             0.68713,             0.40757,             0.45986,             0.26685,            0.049312,            0.085148,            0.012445,            0.006799,            0.006799,            0.006799
                  99,            0.043852,            0.054735,           0.0059906,             0.73974,             0.38821,             0.45729,             0.27046,            0.049123,             0.08469,            0.012469,            0.006766,            0.006766,            0.006766
                 100,            0.043535,            0.054877,           0.0061921,             0.69246,             0.42469,              0.4743,             0.27672,            0.049057,            0.083742,            0.012647,            0.006733,            0.006733,            0.006733
                 101,            0.043364,            0.054158,           0.0059347,             0.71149,             0.40365,             0.47279,             0.27498,             0.04909,             0.08322,            0.012678,              0.0067,              0.0067,              0.0067
                 102,            0.043567,            0.054281,           0.0059245,             0.69011,             0.39819,             0.45739,             0.26828,            0.049435,            0.085995,            0.012713,            0.006667,            0.006667,            0.006667
                 103,            0.043367,            0.054583,           0.0060347,             0.63651,             0.42579,             0.46309,             0.27265,            0.049025,             0.08288,            0.012526,            0.006634,            0.006634,            0.006634
                 104,            0.043942,            0.055795,           0.0060792,             0.68009,              0.4202,             0.46371,             0.27139,            0.049072,            0.084112,            0.012604,            0.006601,            0.006601,            0.006601
                 105,            0.043381,             0.05473,           0.0060141,             0.66104,             0.40884,             0.46097,             0.26709,            0.049083,            0.084716,            0.012546,            0.006568,            0.006568,            0.006568
                 106,            0.043484,            0.054971,           0.0059166,             0.70584,             0.39229,             0.45391,             0.26684,            0.049214,            0.086002,             0.01298,            0.006535,            0.006535,            0.006535
                 107,            0.043385,            0.054103,           0.0059233,             0.67938,             0.41343,             0.46702,             0.27639,            0.048807,            0.082865,            0.012609,            0.006502,            0.006502,            0.006502
                 108,            0.043462,            0.054592,           0.0057707,             0.70411,             0.40303,             0.45745,             0.26677,            0.049023,            0.083447,            0.012763,            0.006469,            0.006469,            0.006469
                 109,            0.043212,            0.055149,           0.0058578,             0.67248,             0.40371,              0.4587,             0.26751,            0.049102,            0.084545,             0.01261,            0.006436,            0.006436,            0.006436
                 110,            0.043442,            0.054923,           0.0059686,             0.68421,             0.42068,             0.47007,             0.27185,            0.049081,             0.08357,            0.012531,            0.006403,            0.006403,            0.006403
                 111,            0.043244,            0.053975,            0.005768,             0.71758,               0.412,             0.47403,             0.27546,            0.048956,            0.083923,            0.012586,             0.00637,             0.00637,             0.00637
                 112,            0.043002,            0.053328,            0.005742,             0.68076,             0.41385,             0.46715,             0.27177,            0.049273,            0.084561,            0.012704,            0.006337,            0.006337,            0.006337
                 113,            0.042983,             0.05479,           0.0058836,             0.65017,             0.42687,             0.47237,             0.27464,            0.049008,            0.083584,            0.012583,            0.006304,            0.006304,            0.006304
                 114,            0.043204,            0.054702,           0.0057736,              0.7008,             0.42241,             0.47945,              0.2808,            0.049157,            0.085024,            0.012477,            0.006271,            0.006271,            0.006271
                 115,            0.043214,            0.054377,           0.0058055,             0.74994,             0.40156,              0.4701,             0.27429,            0.049042,            0.084045,             0.01261,            0.006238,            0.006238,            0.006238
                 116,            0.042454,            0.053135,           0.0057537,             0.73007,             0.41102,             0.47355,             0.27452,            0.048992,            0.084164,            0.012433,            0.006205,            0.006205,            0.006205
                 117,            0.043133,            0.054498,           0.0058464,             0.69934,             0.40933,             0.47185,             0.27635,            0.048813,            0.083599,            0.012728,            0.006172,            0.006172,            0.006172
                 118,            0.042715,            0.053637,            0.005859,             0.72873,             0.41734,             0.47646,             0.27906,            0.048979,            0.084875,            0.012483,            0.006139,            0.006139,            0.006139
                 119,            0.042981,            0.054815,            0.005689,             0.70104,             0.42684,             0.47778,             0.28068,            0.048848,            0.084149,            0.012293,            0.006106,            0.006106,            0.006106
                 120,             0.04253,            0.053254,           0.0056527,             0.68571,              0.4285,             0.47498,             0.27894,            0.048948,            0.084239,            0.012612,            0.006073,            0.006073,            0.006073
                 121,            0.042869,            0.054073,           0.0057224,             0.71239,             0.41874,             0.47394,             0.28049,            0.048977,            0.085453,            0.012353,             0.00604,             0.00604,             0.00604
                 122,            0.042621,            0.053673,           0.0056804,             0.68443,             0.42424,             0.46792,             0.27381,            0.049147,             0.08544,            0.012567,            0.006007,            0.006007,            0.006007
                 123,            0.042574,            0.053353,           0.0057403,              0.7066,             0.41395,             0.46048,             0.27176,            0.048914,            0.085613,            0.012739,            0.005974,            0.005974,            0.005974
                 124,            0.042958,             0.05411,            0.005772,             0.67063,              0.4124,             0.46022,             0.27161,            0.048943,            0.084987,            0.012998,            0.005941,            0.005941,            0.005941
                 125,            0.042672,            0.053844,           0.0056912,             0.70007,             0.41072,             0.46086,             0.27274,            0.049025,            0.085108,            0.012636,            0.005908,            0.005908,            0.005908
                 126,             0.04263,            0.053069,           0.0054928,             0.66358,             0.40379,             0.45866,             0.26781,            0.049018,            0.084588,            0.013139,            0.005875,            0.005875,            0.005875
                 127,            0.042724,            0.053065,           0.0055485,             0.67287,             0.41653,             0.45956,             0.26847,            0.048959,            0.084351,            0.012937,            0.005842,            0.005842,            0.005842
                 128,            0.042522,            0.052937,           0.0057066,             0.65808,             0.42277,              0.4632,             0.27332,            0.049102,            0.085302,            0.012766,            0.005809,            0.005809,            0.005809
                 129,            0.042437,            0.053233,           0.0055409,             0.68879,             0.41937,             0.46504,             0.27033,            0.048843,            0.083551,            0.012949,            0.005776,            0.005776,            0.005776
                 130,             0.04261,            0.053241,           0.0055653,             0.73024,             0.40702,             0.47185,             0.27694,            0.048962,            0.085474,             0.01277,            0.005743,            0.005743,            0.005743
                 131,            0.042597,            0.052447,           0.0055243,             0.69512,             0.41486,             0.46892,             0.27351,            0.049006,            0.085028,              0.0128,             0.00571,             0.00571,             0.00571
                 132,            0.042235,            0.052441,           0.0054644,             0.70457,             0.41718,             0.47468,             0.27711,            0.049049,            0.085556,            0.012625,            0.005677,            0.005677,            0.005677
                 133,            0.042477,            0.052723,           0.0055875,             0.70532,             0.41122,             0.46756,             0.27384,            0.048911,            0.084805,            0.012813,            0.005644,            0.005644,            0.005644
                 134,             0.04225,            0.053395,           0.0054404,              0.7247,             0.41281,             0.47899,             0.27979,            0.048845,            0.084696,            0.012602,            0.005611,            0.005611,            0.005611
                 135,            0.042238,            0.052533,           0.0055327,             0.72829,             0.39183,             0.45874,             0.26959,            0.048824,            0.085978,             0.01288,            0.005578,            0.005578,            0.005578
                 136,            0.042135,            0.052492,            0.005385,             0.75291,             0.39536,             0.46406,             0.27237,            0.048675,            0.084485,            0.012666,            0.005545,            0.005545,            0.005545
                 137,            0.042255,            0.052253,           0.0055563,              0.6903,             0.40389,             0.47029,             0.27689,            0.048741,            0.085874,            0.012851,            0.005512,            0.005512,            0.005512
                 138,            0.042198,            0.052592,           0.0054689,             0.71121,             0.41191,             0.47054,             0.27821,            0.048791,            0.084639,            0.012574,            0.005479,            0.005479,            0.005479
                 139,            0.041821,            0.052171,           0.0054191,             0.68084,             0.41095,             0.46978,             0.27569,            0.048653,            0.084209,            0.012503,            0.005446,            0.005446,            0.005446
                 140,            0.042231,            0.052686,           0.0055811,             0.65021,              0.4244,             0.47106,             0.27767,            0.048749,            0.084812,            0.012484,            0.005413,            0.005413,            0.005413
                 141,            0.041954,             0.05266,           0.0053715,             0.69111,             0.40718,             0.45756,             0.26963,            0.048946,             0.08597,            0.013254,             0.00538,             0.00538,             0.00538
                 142,            0.041779,            0.052021,           0.0053326,             0.69958,             0.41405,             0.47149,              0.2767,            0.048663,            0.084833,            0.012669,            0.005347,            0.005347,            0.005347
                 143,            0.042265,             0.05353,           0.0055717,              0.6884,             0.41302,             0.46015,             0.26904,            0.048938,            0.086975,            0.012768,            0.005314,            0.005314,            0.005314
                 144,             0.04202,            0.052858,           0.0053642,             0.72514,              0.3969,             0.46061,              0.2693,            0.048992,             0.08647,            0.012685,            0.005281,            0.005281,            0.005281
                 145,            0.042149,            0.052829,           0.0054543,             0.68415,             0.41694,             0.46687,             0.27532,            0.048849,            0.085532,            0.012612,            0.005248,            0.005248,            0.005248
                 146,            0.041748,            0.052738,           0.0053354,             0.69773,             0.42036,             0.46825,             0.27927,            0.048815,             0.08539,             0.01268,            0.005215,            0.005215,            0.005215
                 147,             0.04173,            0.052091,           0.0053423,             0.71728,             0.40888,             0.46837,             0.27609,             0.04875,            0.084507,            0.013027,            0.005182,            0.005182,            0.005182
                 148,            0.041845,            0.051974,           0.0053795,             0.71044,             0.40995,             0.46754,             0.27562,            0.048785,            0.085619,            0.012919,            0.005149,            0.005149,            0.005149
                 149,            0.041824,            0.052517,           0.0052805,             0.67346,             0.42876,             0.47411,             0.27561,            0.048766,            0.084422,              0.0129,            0.005116,            0.005116,            0.005116
                 150,            0.041606,            0.052018,           0.0054657,             0.71626,             0.41033,             0.46877,             0.27515,            0.048826,            0.085231,            0.012916,            0.005083,            0.005083,            0.005083
                 151,            0.041688,            0.052714,            0.005269,             0.69784,             0.42062,             0.46925,             0.27468,            0.048864,            0.085825,            0.012869,             0.00505,             0.00505,             0.00505
                 152,            0.041636,            0.052533,           0.0052878,             0.70275,             0.40794,             0.46847,             0.27346,            0.048826,            0.086037,            0.012975,            0.005017,            0.005017,            0.005017
                 153,            0.041655,             0.05214,           0.0053137,             0.70971,              0.4142,             0.46929,             0.27542,            0.048743,            0.086226,            0.013059,            0.004984,            0.004984,            0.004984
                 154,            0.041377,            0.051993,           0.0051275,             0.71131,             0.41456,             0.46647,             0.27659,            0.048719,            0.085144,            0.012895,            0.004951,            0.004951,            0.004951
                 155,            0.041487,            0.051437,           0.0052831,             0.71712,             0.40948,             0.46918,             0.27743,             0.04875,            0.085219,            0.012915,            0.004918,            0.004918,            0.004918
