               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.061529,            0.075851,             0.11158,             0.43111,             0.30668,             0.29617,             0.12385,            0.062402,            0.093986,             0.16758,            0.006436,            0.006436,            0.006436
                  38,             0.06126,            0.074857,             0.11407,             0.46918,              0.2838,             0.29678,             0.12662,             0.06261,            0.094942,             0.16802,            0.006337,            0.006337,            0.006337
                  39,            0.060748,            0.074375,             0.10989,             0.50507,             0.30371,             0.31493,             0.13293,            0.062264,            0.093325,             0.16135,            0.006238,            0.006238,            0.006238
                  40,            0.060625,            0.074219,             0.10943,             0.47053,             0.29951,             0.30826,             0.13301,            0.062265,            0.094747,             0.16558,            0.006139,            0.006139,            0.006139
                  41,            0.060513,            0.074655,             0.10862,             0.51068,             0.29847,              0.3143,             0.13653,            0.062062,            0.093239,             0.16563,             0.00604,             0.00604,             0.00604
                  42,            0.060818,            0.073875,             0.10852,             0.48892,             0.31266,             0.32048,             0.13897,            0.061456,            0.092926,             0.16586,            0.005941,            0.005941,            0.005941
                  43,            0.060462,            0.074379,             0.10625,             0.49234,             0.30449,             0.31872,             0.13687,            0.061684,            0.093425,             0.16731,            0.005842,            0.005842,            0.005842
                  44,            0.060005,            0.073903,             0.10746,             0.51976,             0.31129,             0.33094,             0.14297,            0.061304,            0.092838,             0.16499,            0.005743,            0.005743,            0.005743
                  45,            0.059674,            0.072764,             0.10534,             0.48138,             0.32787,             0.34368,             0.14702,            0.061057,             0.09243,             0.15406,            0.005644,            0.005644,            0.005644
                  46,            0.059861,            0.074526,             0.10368,             0.48146,              0.3353,             0.34378,             0.14949,            0.060952,            0.092467,             0.15503,            0.005545,            0.005545,            0.005545
                  47,            0.059658,            0.073154,             0.10303,             0.51556,             0.32438,             0.34296,             0.14915,            0.060821,            0.092751,             0.16133,            0.005446,            0.005446,            0.005446
                  48,            0.059262,            0.073567,             0.10284,              0.4961,             0.31779,             0.33515,             0.14341,            0.060533,             0.09226,             0.15784,            0.005347,            0.005347,            0.005347
                  49,            0.059149,            0.073034,             0.10231,             0.51188,              0.3216,             0.34787,             0.15798,            0.060166,              0.0913,             0.15493,            0.005248,            0.005248,            0.005248
                  50,            0.058977,            0.072385,             0.10074,             0.50633,             0.33046,             0.34551,             0.15404,            0.060348,            0.091268,             0.15759,            0.005149,            0.005149,            0.005149
                  51,            0.058766,            0.072086,             0.10012,             0.54278,              0.3098,             0.34721,                0.15,            0.060439,            0.091455,             0.15532,             0.00505,             0.00505,             0.00505
                  52,            0.058405,            0.072514,            0.099069,             0.56613,             0.30349,             0.33669,             0.14989,             0.06004,            0.091843,             0.15904,            0.004951,            0.004951,            0.004951
                  53,            0.058273,            0.072076,            0.097516,             0.50878,             0.33699,             0.34274,             0.15472,            0.059811,             0.09108,             0.15491,            0.004852,            0.004852,            0.004852
                  54,            0.058317,            0.072508,            0.098572,             0.55526,             0.32023,             0.34396,             0.15707,            0.059757,            0.091052,             0.15944,            0.004753,            0.004753,            0.004753
                  55,            0.057846,            0.071625,            0.095163,             0.52899,             0.32119,             0.34391,             0.15666,            0.059878,            0.091313,             0.15849,            0.004654,            0.004654,            0.004654
                  56,            0.058016,            0.071683,            0.095461,             0.51396,             0.34828,             0.35652,             0.15918,            0.059459,            0.090916,              0.1547,            0.004555,            0.004555,            0.004555
                  57,             0.05755,            0.072133,            0.095241,             0.52498,             0.33851,             0.35629,             0.16217,            0.059391,             0.09022,             0.15556,            0.004456,            0.004456,            0.004456
                  58,            0.057258,            0.071953,            0.092556,             0.50934,             0.33884,             0.35187,             0.15939,            0.059606,            0.090846,             0.15584,            0.004357,            0.004357,            0.004357
                  59,            0.057441,            0.071647,            0.095975,             0.47712,             0.34324,             0.34786,             0.16137,            0.059531,            0.090938,             0.15131,            0.004258,            0.004258,            0.004258
                  60,            0.057146,            0.071274,             0.09392,              0.5423,             0.34096,             0.35617,             0.16048,             0.05924,            0.090558,             0.15358,            0.004159,            0.004159,            0.004159
                  61,            0.057304,            0.071635,            0.092499,             0.53947,             0.34627,             0.35596,             0.16409,            0.059086,            0.090537,             0.15583,             0.00406,             0.00406,             0.00406
                  62,            0.057223,            0.071493,            0.094097,             0.52954,             0.33946,             0.35714,             0.16511,            0.059053,            0.090382,             0.15422,            0.003961,            0.003961,            0.003961
